,name,layer_affected,kernel_index,layer_affected_index,position_disrupted,min_var,max_var,original_weight_value,quantized_value,bit_disrupted,flipped_quantized_value,flipped_weight_value,q_aware_accuracy,tflite_accuracy,q_aware_acc_degradation,tflite_acc_degradation,original_laplacian,modified_laplacian,original_int_laplacian,modified_int_laplacian,abs_laplacian_diff,abs_int_laplacian_diff
16,model_1_15,conv2d_1/kernel,1.0,4.0,"(2, 1, 11, 2)",-0.55156010389328,0.55156010389328,-0.16050510108470917,-37.0,5.0,-5.0,-0.021714964720207876,0.9118000268936157,0.9118,0.0003000497817993164,0.00010000000000010001,0.07458239048719406,-0.48057812452316284,17.0,-111.0,0.5551605224609375,128.0
17,model_1_16,conv2d_1/kernel,1.0,4.0,"(3, 4, 2, 30)",-0.4680146872997284,0.4680146872997284,-0.22985707223415375,-62.0,7.0,66.0,0.24322023119513445,0.9115999937057495,0.9121,0.00010001659393310547,0.00040000000000006697,0.4086143672466278,-1.0106174945831299,110.0,-274.0,1.41923189163208,384.0
18,model_1_17,conv2d_1/kernel,1.0,4.0,"(0, 3, 6, 35)",-0.4116211235523224,0.4116211235523224,-0.08379657566547394,-26.0,7.0,102.0,0.3305933433254873,0.9128000140190125,0.9131,0.001300036907196045,0.0014000000000000679,0.03403113782405853,-1.2091386318206787,11.0,-373.0,1.2431697845458984,384.0
19,model_1_18,conv2d_1/kernel,1.0,4.0,"(0, 2, 26, 19)",-0.47254568338394165,0.47254568338394165,-0.02468525990843773,-7.0,3.0,-15.0,-0.055812482289441925,0.9115999937057495,0.9118,0.00010001659393310547,0.00010000000000010001,0.06151113659143448,0.15489280223846436,17.0,41.0,0.09338166564702988,24.0
20,model_1_19,conv2d_1/kernel,1.0,4.0,"(4, 4, 1, 56)",-0.5495671033859253,0.5495671033859253,0.08615276962518692,20.0,3.0,28.0,0.12116440074650321,0.9118000268936157,0.9118,0.0003000497817993164,0.00010000000000010001,-0.11523908376693726,-0.18526235222816467,-27.0,-43.0,0.07002326846122742,16.0
21,model_1_20,conv2d_1/kernel,1.0,4.0,"(4, 0, 29, 27)",-0.5517801642417908,0.5517801642417908,-0.0190818402916193,-4.0,4.0,-20.0,-0.08689451405382533,0.9115999937057495,0.9118,0.00010001659393310547,0.00010000000000010001,0.011561982333660126,0.14718732237815857,1.0,33.0,0.13562533259391785,32.0
22,model_1_21,conv2d_1/kernel,1.0,4.0,"(3, 2, 18, 33)",-0.44516822695732117,0.44516822695732117,0.034638114273548126,10.0,4.0,26.0,0.09113680236921536,0.9114999771118164,0.9118,0.0,0.00010000000000010001,-0.20997054874897003,-0.43596529960632324,-60.0,-124.0,0.2259947508573532,64.0
23,model_1_22,conv2d_1/kernel,1.0,4.0,"(3, 1, 19, 20)",-0.4547130763530731,0.4547130763530731,0.0990661159157753,28.0,3.0,20.0,0.07160835848079891,0.911899983882904,0.9119,0.0004000067710876465,0.000200000000000089,-0.28907135128974915,-0.17924031615257263,-81.0,-49.0,0.10983103513717651,32.0
24,model_1_23,conv2d_1/kernel,1.0,4.0,"(4, 2, 0, 57)",-0.3968622088432312,0.3968622088432312,0.11213870346546173,36.0,3.0,44.0,0.13749556841812735,0.9114999771118164,0.9116,0.0,-9.999999999998899e-05,-0.04618673771619797,-0.12225732207298279,-15.0,-39.0,0.07607058435678482,24.0
25,model_1_24,conv2d_1/kernel,1.0,4.0,"(2, 1, 14, 19)",-0.47254568338394165,0.47254568338394165,0.1664542555809021,45.0,5.0,13.0,0.048370817984183,0.9114999771118164,0.912,0.0,0.000300000000000078,-0.38090115785598755,0.09143255650997162,-103.0,25.0,0.47233372926712036,128.0
26,model_1_25,conv2d_1/kernel,1.0,4.0,"(2, 0, 26, 51)",-0.6980975866317749,0.6980975866317749,0.026600884273648262,5.0,6.0,69.0,0.37928136596529505,0.911899983882904,0.9118,0.0004000067710876465,0.00010000000000010001,-0.13331818580627441,-1.1913596391677856,-25.0,-217.0,1.0580414533615112,192.0
27,model_1_26,conv2d_1/kernel,1.0,4.0,"(4, 4, 11, 35)",-0.4116211235523224,0.4116211235523224,0.0514034777879715,16.0,6.0,80.0,0.25928889672587235,0.9115999937057495,0.9119,0.00010001659393310547,0.000200000000000089,-0.18368661403656006,-0.5994575023651123,-57.0,-185.0,0.41577088832855225,128.0
28,model_1_27,conv2d_1/kernel,1.0,4.0,"(3, 0, 1, 55)",-0.5040554404258728,0.5040554404258728,0.021230118349194527,5.0,7.0,-123.0,-0.4881796785226957,0.9121999740600586,0.9126,0.0006999969482421875,0.0009000000000000119,0.16167642176151276,1.6899058818817139,41.0,425.0,1.5282294750213623,384.0
29,model_1_28,conv2d_1/kernel,1.0,4.0,"(3, 3, 31, 49)",-0.43222540616989136,0.43222540616989136,-0.0989006757736206,-29.0,7.0,99.0,0.3369316158332224,0.9117000102996826,0.9119,0.00020003318786621094,0.000200000000000089,0.14545796811580658,-1.59787118434906,42.0,-470.0,1.7433291673660278,512.0
30,model_1_29,conv2d_1/kernel,1.0,4.0,"(3, 0, 25, 1)",-0.4280238449573517,0.4280238449573517,-0.14079275727272034,-42.0,2.0,-46.0,-0.15503225880345023,0.9118000268936157,0.9119,0.0003000497817993164,0.000200000000000089,0.23076242208480835,0.27348095178604126,70.0,82.0,0.04271852970123291,12.0
31,model_1_30,conv2d_1/kernel,1.0,4.0,"(4, 0, 20, 25)",-0.5542344450950623,0.5542344450950623,0.19146151840686798,44.0,3.0,36.0,0.15710582695608064,0.9118000268936157,0.9119,0.0003000497817993164,0.000200000000000089,-0.07639405131340027,-0.007682681083679199,-17.0,-1.0,0.06871137022972107,16.0
