;name;layer_key;kernel_index;layer_index;n_bits_flipped;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;model-original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
1666;4_20230519 08:44:47;quant_conv2d;1;2;9;23;0.882099986076355;-0.02950000762939453;0.40017908811569214
1667;4_20230519 08:44:52;quant_conv2d;1;2;10;23;0.8777999877929688;-0.03380000591278076;0.4162473678588867
1668;4_20230519 08:44:57;quant_conv2d;1;2;11;23;0.876800000667572;-0.03479999303817749;0.4350806772708893
1669;4_20230519 08:45:01;quant_conv2d;1;2;12;23;0.8754000067710876;-0.036199986934661865;0.43200424313545227
1670;4_20230519 08:45:05;quant_conv2d;1;2;13;23;0.8705000281333923;-0.04109996557235718;0.45078128576278687
1671;4_20230519 08:45:08;quant_conv2d;1;2;14;23;0.8704000115394592;-0.04119998216629028;0.4561977982521057
1672;4_20230519 08:45:12;quant_conv2d;1;2;15;23;0.8654000163078308;-0.0461999773979187;0.48268696665763855
1673;4_20230519 08:45:16;quant_conv2d;1;2;16;23;0.8601999878883362;-0.05140000581741333;0.5019783973693848
1674;4_20230519 08:45:20;quant_conv2d;1;2;17;23;0.8626000285148621;-0.04899996519088745;0.49815428256988525
1675;4_20230519 08:45:25;quant_conv2d;1;2;18;23;0.8614000082015991;-0.05019998550415039;0.5162535905838013
1676;4_20230519 08:45:29;quant_conv2d;1;2;19;23;0.8544999957084656;-0.057099997997283936;0.5319921374320984
1677;4_20230519 08:45:34;quant_conv2d;1;2;20;23;0.8500999808311462;-0.06150001287460327;0.5590602159500122
1678;4_20230519 08:45:37;quant_conv2d;1;2;1;31;0.9067000150680542;-0.0048999786376953125;0.3071115016937256
1679;4_20230519 08:45:41;quant_conv2d;1;2;2;31;0.9035999774932861;-0.008000016212463379;0.3208286762237549
1680;4_20230519 08:45:44;quant_conv2d;1;2;3;31;0.8996999859809875;-0.011900007724761963;0.3338133692741394
1681;4_20230519 08:45:47;quant_conv2d;1;2;4;31;0.8988000154495239;-0.012799978256225586;0.34498706459999084
1682;4_20230519 08:45:51;quant_conv2d;1;2;5;31;0.8902000188827515;-0.021399974822998047;0.3726230561733246
1683;4_20230519 08:45:55;quant_conv2d;1;2;6;31;0.8873999714851379;-0.024200022220611572;0.37876373529434204
1684;4_20230519 08:45:59;quant_conv2d;1;2;7;31;0.8833000063896179;-0.028299987316131592;0.3895692229270935
1685;4_20230519 08:46:03;quant_conv2d;1;2;8;31;0.8813999891281128;-0.03020000457763672;0.39072301983833313
1686;4_20230519 08:46:07;quant_conv2d;1;2;9;31;0.871399998664856;-0.040199995040893555;0.4292771518230438
1687;4_20230519 08:46:11;quant_conv2d;1;2;10;31;0.8700000047683716;-0.04159998893737793;0.44159945845603943
1688;4_20230519 08:46:16;quant_conv2d;1;2;11;31;0.8644999861717224;-0.0471000075340271;0.4590684473514557
1689;4_20230519 08:46:20;quant_conv2d;1;2;12;31;0.863099992275238;-0.048500001430511475;0.4771626591682434
1690;4_20230519 08:46:24;quant_conv2d;1;2;13;31;0.8569999933242798;-0.05460000038146973;0.507869303226471
1691;4_20230519 08:46:28;quant_conv2d;1;2;14;31;0.8551999926567078;-0.05640000104904175;0.5157250165939331
1692;4_20230519 08:46:33;quant_conv2d;1;2;15;31;0.8507000207901001;-0.060899972915649414;0.5381768345832825
1693;4_20230519 08:46:37;quant_conv2d;1;2;16;31;0.8482000231742859;-0.06339997053146362;0.543454110622406
1694;4_20230519 08:46:42;quant_conv2d;1;2;17;31;0.8395000100135803;-0.07209998369216919;0.577414333820343
1695;4_20230519 08:46:46;quant_conv2d;1;2;18;31;0.8432000279426575;-0.06839996576309204;0.5625265836715698
1696;4_20230519 08:46:50;quant_conv2d;1;2;19;31;0.8345999717712402;-0.07700002193450928;0.6052733659744263
1697;4_20230519 08:46:55;quant_conv2d;1;2;20;31;0.8288999795913696;-0.08270001411437988;0.6228526830673218
1698;5_20230519 08:46:58;quant_conv2d;1;2;1;7;0.9115999937057495;0.0;0.2891926169395447
1699;5_20230519 08:47:01;quant_conv2d;1;2;2;7;0.9117000102996826;0.00010001659393310547;0.2891765832901001
1700;5_20230519 08:47:05;quant_conv2d;1;2;3;7;0.9114999771118164;-0.00010001659393310547;0.2891697287559509
1701;5_20230519 08:47:09;quant_conv2d;1;2;4;7;0.9118000268936157;0.00020003318786621094;0.28917431831359863
1702;5_20230519 08:47:12;quant_conv2d;1;2;5;7;0.9115999937057495;0.0;0.2891790270805359
1703;5_20230519 08:47:15;quant_conv2d;1;2;6;7;0.9117000102996826;0.00010001659393310547;0.28916776180267334
1704;5_20230519 08:47:19;quant_conv2d;1;2;7;7;0.9117000102996826;0.00010001659393310547;0.2891685664653778
1705;5_20230519 08:47:22;quant_conv2d;1;2;8;7;0.9115999937057495;0.0;0.28919538855552673
1706;5_20230519 08:47:26;quant_conv2d;1;2;9;7;0.9114999771118164;-0.00010001659393310547;0.28930994868278503
1707;5_20230519 08:47:30;quant_conv2d;1;2;10;7;0.9118000268936157;0.00020003318786621094;0.2891009747982025
1708;5_20230519 08:47:34;quant_conv2d;1;2;11;7;0.9114999771118164;-0.00010001659393310547;0.2891119420528412
1709;5_20230519 08:47:37;quant_conv2d;1;2;12;7;0.9117000102996826;0.00010001659393310547;0.2891142666339874
1710;5_20230519 08:47:41;quant_conv2d;1;2;13;7;0.911899983882904;0.000299990177154541;0.28913548588752747
1711;5_20230519 08:47:45;quant_conv2d;1;2;14;7;0.9115999937057495;0.0;0.28919532895088196
1712;5_20230519 08:47:49;quant_conv2d;1;2;15;7;0.9117000102996826;0.00010001659393310547;0.2891108989715576
1713;5_20230519 08:47:53;quant_conv2d;1;2;16;7;0.9117000102996826;0.00010001659393310547;0.2891572117805481
1714;5_20230519 08:47:57;quant_conv2d;1;2;17;7;0.9117000102996826;0.00010001659393310547;0.2890627980232239
1715;5_20230519 08:48:01;quant_conv2d;1;2;18;7;0.9117000102996826;0.00010001659393310547;0.28920719027519226
1716;5_20230519 08:48:08;quant_conv2d;1;2;19;7;0.9115999937057495;0.0;0.2891244888305664
1717;5_20230519 08:48:13;quant_conv2d;1;2;20;7;0.9114999771118164;-0.00010001659393310547;0.28919366002082825
1718;5_20230519 08:48:16;quant_conv2d;1;2;1;15;0.9114000201225281;-0.00019997358322143555;0.2895906865596771
1719;5_20230519 08:48:19;quant_conv2d;1;2;2;15;0.9120000004768372;0.0004000067710876465;0.28893259167671204
1720;5_20230519 08:48:23;quant_conv2d;1;2;3;15;0.9121000170707703;0.000500023365020752;0.28945907950401306
1721;5_20230519 08:48:26;quant_conv2d;1;2;4;15;0.9115999937057495;0.0;0.2896113097667694
1722;5_20230519 08:48:29;quant_conv2d;1;2;5;15;0.9115999937057495;0.0;0.28930023312568665
1723;5_20230519 08:48:33;quant_conv2d;1;2;6;15;0.911300003528595;-0.000299990177154541;0.2903274595737457
1724;5_20230519 08:48:37;quant_conv2d;1;2;7;15;0.9110999703407288;-0.000500023365020752;0.29004430770874023
