;name;layer_key;kernel_index;layer_index;n_bits_flipped;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
84;0_2023-05-23 09:57:30;quant_conv2d;1;2;5;10;0.9116;0.0;0.2891921
85;0_2023-05-23 09:57:34;quant_conv2d;1;2;6;10;0.9118;0.000200000000000089;0.2893302
86;0_2023-05-23 09:57:38;quant_conv2d;1;2;7;10;0.9116;0.0;0.28915048
87;0_2023-05-23 09:57:43;quant_conv2d;1;2;8;10;0.9119;0.000300000000000078;0.2891031
88;0_2023-05-23 09:57:46;quant_conv2d;1;2;1;11;0.9117;9.999999999998899e-05;0.28924587
89;0_2023-05-23 09:57:50;quant_conv2d;1;2;2;11;0.9115;-9.999999999998899e-05;0.2893633
90;0_2023-05-23 09:57:53;quant_conv2d;1;2;3;11;0.9118;0.000200000000000089;0.28909147
91;0_2023-05-23 09:57:57;quant_conv2d;1;2;4;11;0.9116;0.0;0.28921786
92;0_2023-05-23 09:58:01;quant_conv2d;1;2;5;11;0.912;0.00040000000000006697;0.28913805
93;0_2023-05-23 09:58:05;quant_conv2d;1;2;6;11;0.9112;-0.00039999999999995595;0.28911483
94;0_2023-05-23 09:58:10;quant_conv2d;1;2;7;11;0.9115;-9.999999999998899e-05;0.28922877
95;0_2023-05-23 09:58:14;quant_conv2d;1;2;8;11;0.9117;9.999999999998899e-05;0.2891924
96;0_2023-05-23 09:58:18;quant_conv2d;1;2;1;12;0.9116;0.0;0.2890716
97;0_2023-05-23 09:58:22;quant_conv2d;1;2;2;12;0.9118;0.000200000000000089;0.28920802
98;0_2023-05-23 09:58:25;quant_conv2d;1;2;3;12;0.912;0.00040000000000006697;0.28909218
99;0_2023-05-23 09:58:29;quant_conv2d;1;2;4;12;0.9122;0.0006000000000000449;0.28898415
100;0_2023-05-23 09:58:33;quant_conv2d;1;2;5;12;0.9123;0.0007000000000000339;0.289337
101;0_2023-05-23 09:58:37;quant_conv2d;1;2;6;12;0.9122;0.0006000000000000449;0.28942895
102;0_2023-05-23 09:58:41;quant_conv2d;1;2;7;12;0.912;0.00040000000000006697;0.28905395
