,reference,layer_name,n_bits_flipped,bit_disrupted,accuracy,accuracy_degradation,loss
115,2023/10/25 09:48:26,conv2d/,4,4,0.9139,9.999999999998899e-05,0.39008763
116,2023/10/25 09:48:27,conv2d/,1,5,0.914,0.0,0.38975012
117,2023/10/25 09:48:29,conv2d/,2,5,0.914,0.0,0.3891327
118,2023/10/25 09:48:31,conv2d/,3,5,0.9129,0.0010999999999999899,0.39313814
119,2023/10/25 09:48:32,conv2d/,4,5,0.9138,0.000200000000000089,0.390646
120,2023/10/25 09:48:34,conv2d/,1,6,0.9049,0.009099999999999997,0.4369393
121,2023/10/25 09:48:36,conv2d/,2,6,0.9127,0.0013000000000000789,0.3931219
122,2023/10/25 09:48:37,conv2d/,3,6,0.9141,-9.999999999998899e-05,0.38290718
123,2023/10/25 09:48:39,conv2d/,4,6,0.9119,0.0020999999999999908,0.38665938
124,2023/10/25 09:48:41,conv2d/,1,7,0.9123,0.0017000000000000348,0.39680094
125,2023/10/25 09:48:43,conv2d/,2,7,0.9126,0.0014000000000000679,0.38883808
126,2023/10/25 09:48:44,conv2d/,3,7,0.909,0.0050000000000000044,0.37816957
127,2023/10/25 09:48:46,conv2d/,4,7,0.9127,0.0013000000000000789,0.38133353
128,2023/10/25 09:48:48,conv2d/,1,0,0.9136,0.00040000000000006697,0.3901447
129,2023/10/25 09:48:49,conv2d/,2,0,0.914,0.0,0.38870585
130,2023/10/25 09:48:51,conv2d/,3,0,0.9139,9.999999999998899e-05,0.38971993
131,2023/10/25 09:48:53,conv2d/,4,0,0.9138,0.000200000000000089,0.3901316
132,2023/10/25 09:48:54,conv2d/,1,1,0.9143,-0.00029999999999996696,0.39081365
133,2023/10/25 09:48:56,conv2d/,2,1,0.9149,-0.0009000000000000119,0.39134035
134,2023/10/25 09:48:58,conv2d/,3,1,0.9136,0.00040000000000006697,0.38982993
135,2023/10/25 09:48:59,conv2d/,4,1,0.9146,-0.0005999999999999339,0.38762882
136,2023/10/25 09:49:01,conv2d/,1,2,0.9147,-0.0006999999999999229,0.38941193
137,2023/10/25 09:49:03,conv2d/,2,2,0.9141,-9.999999999998899e-05,0.38599992
138,2023/10/25 09:49:04,conv2d/,3,2,0.9138,0.000200000000000089,0.3898588
139,2023/10/25 09:49:06,conv2d/,4,2,0.9141,-9.999999999998899e-05,0.39005238
140,2023/10/25 09:49:08,conv2d/,1,3,0.9139,9.999999999998899e-05,0.39034998
141,2023/10/25 09:49:09,conv2d/,2,3,0.9145,-0.0004999999999999449,0.38915923
142,2023/10/25 09:49:11,conv2d/,3,3,0.9134,0.0006000000000000449,0.38672277
143,2023/10/25 09:49:13,conv2d/,4,3,0.9131,0.0009000000000000119,0.3938467
144,2023/10/25 09:49:15,conv2d/,1,4,0.9149,-0.0009000000000000119,0.38938388
145,2023/10/25 09:49:16,conv2d/,2,4,0.9137,0.000300000000000078,0.39152402
146,2023/10/25 09:49:18,conv2d/,3,4,0.9144,-0.00039999999999995595,0.39035532
147,2023/10/25 09:49:20,conv2d/,4,4,0.9143,-0.00029999999999996696,0.3859816
148,2023/10/25 09:49:21,conv2d/,1,5,0.9137,0.000300000000000078,0.38978517
149,2023/10/25 09:49:23,conv2d/,2,5,0.9138,0.000200000000000089,0.38610488
150,2023/10/25 09:49:25,conv2d/,3,5,0.9136,0.00040000000000006697,0.39262614
151,2023/10/25 09:49:26,conv2d/,4,5,0.9112,0.0028000000000000247,0.40501875
152,2023/10/25 09:49:28,conv2d/,1,6,0.9093,0.0047000000000000375,0.42050377
153,2023/10/25 09:49:30,conv2d/,2,6,0.9114,0.0026000000000000467,0.39926493
154,2023/10/25 09:49:31,conv2d/,3,6,0.9073,0.006700000000000039,0.4208004
155,2023/10/25 09:49:33,conv2d/,4,6,0.9084,0.005600000000000049,0.417777
156,2023/10/25 09:49:35,conv2d/,1,7,0.9091,0.0049000000000000155,0.40197554
157,2023/10/25 09:49:36,conv2d/,2,7,0.9134,0.0006000000000000449,0.38515434
158,2023/10/25 09:49:38,conv2d/,3,7,0.9054,0.008600000000000052,0.38608286
159,2023/10/25 09:49:40,conv2d/,4,7,0.9124,0.0016000000000000458,0.39032963
160,2023/10/25 09:49:41,conv2d/,1,0,0.9143,-0.00029999999999996696,0.38959107
161,2023/10/25 09:49:43,conv2d/,2,0,0.9137,0.000300000000000078,0.39094517
162,2023/10/25 09:49:45,conv2d/,3,0,0.9141,-9.999999999998899e-05,0.3871304
163,2023/10/25 09:49:47,conv2d/,4,0,0.9144,-0.00039999999999995595,0.38834915
164,2023/10/25 09:49:48,conv2d/,1,1,0.9143,-0.00029999999999996696,0.39081365
165,2023/10/25 09:49:50,conv2d/,2,1,0.9143,-0.00029999999999996696,0.39178398
166,2023/10/25 09:49:52,conv2d/,3,1,0.9146,-0.0005999999999999339,0.38991687
167,2023/10/25 09:49:53,conv2d/,4,1,0.9141,-9.999999999998899e-05,0.3899939
168,2023/10/25 09:49:55,conv2d/,1,2,0.914,0.0,0.38856953
169,2023/10/25 09:49:57,conv2d/,2,2,0.9142,-0.00019999999999997797,0.39046586
170,2023/10/25 09:49:58,conv2d/,3,2,0.9141,-9.999999999998899e-05,0.3901785
171,2023/10/25 09:50:00,conv2d/,4,2,0.9145,-0.0004999999999999449,0.38629007
172,2023/10/25 09:50:02,conv2d/,1,3,0.9136,0.00040000000000006697,0.39179766
173,2023/10/25 09:50:04,conv2d/,2,3,0.9139,9.999999999998899e-05,0.39071384
174,2023/10/25 09:50:05,conv2d/,3,3,0.9136,0.00040000000000006697,0.3873898
175,2023/10/25 09:50:07,conv2d/,4,3,0.9134,0.0006000000000000449,0.38651603
176,2023/10/25 09:50:09,conv2d/,1,4,0.9138,0.000200000000000089,0.38960811
177,2023/10/25 09:50:10,conv2d/,2,4,0.9145,-0.0004999999999999449,0.39038926
178,2023/10/25 09:50:12,conv2d/,3,4,0.9129,0.0010999999999999899,0.38883454
179,2023/10/25 09:50:14,conv2d/,4,4,0.9132,0.0008000000000000229,0.38953507
180,2023/10/25 09:50:16,conv2d/,1,5,0.9137,0.000300000000000078,0.384222
181,2023/10/25 09:50:17,conv2d/,2,5,0.9133,0.0007000000000000339,0.38932896
182,2023/10/25 09:50:19,conv2d/,3,5,0.9138,0.000200000000000089,0.38835397
183,2023/10/25 09:50:21,conv2d/,4,5,0.9127,0.0013000000000000789,0.38122386
184,2023/10/25 09:50:23,conv2d/,1,6,0.9126,0.0014000000000000679,0.3894315
185,2023/10/25 09:50:24,conv2d/,2,6,0.9115,0.0025000000000000577,0.4059604
186,2023/10/25 09:50:26,conv2d/,3,6,0.9126,0.0014000000000000679,0.38376456
187,2023/10/25 09:50:28,conv2d/,4,6,0.9135,0.000500000000000056,0.38305214
188,2023/10/25 09:50:29,conv2d/,1,7,0.9122,0.0018000000000000238,0.3820022
189,2023/10/25 09:50:31,conv2d/,2,7,0.9121,0.0019000000000000128,0.3930899
