,reference,layer_key,kernel_index,layer_index,n_bits_flipped,bit_disrupted,q_aware_test_accuracy,q_aware_test_acc_degradation,q_aware_test_loss
24448,2023/05/21 23:17:54,quant_conv2d,1,2,1,16,0.9117000102996826,0.00010001659393310547,0.28928399085998535
24449,2023/05/21 23:17:57,quant_conv2d,1,2,2,16,0.9108999967575073,-0.0006999969482421875,0.28972572088241577
24450,2023/05/21 23:18:01,quant_conv2d,1,2,3,16,0.9118000268936157,0.00020003318786621094,0.291999876499176
24451,2023/05/21 23:18:04,quant_conv2d,1,2,4,16,0.909500002861023,-0.0020999908447265625,0.29421645402908325
24452,2023/05/21 23:18:07,quant_conv2d,1,2,5,16,0.9110000133514404,-0.000599980354309082,0.2938167154788971
24453,2023/05/21 23:18:11,quant_conv2d,1,2,6,16,0.909600019454956,-0.001999974250793457,0.29252856969833374
24454,2023/05/21 23:18:15,quant_conv2d,1,2,7,16,0.910099983215332,-0.0015000104904174805,0.2942317724227905
24455,2023/05/21 23:18:18,quant_conv2d,1,2,8,16,0.9103000164031982,-0.0012999773025512695,0.2941683232784271
24456,2023/05/21 23:18:22,quant_conv2d,1,2,1,17,0.9115999937057495,0.0,0.2908934950828552
24457,2023/05/21 23:18:26,quant_conv2d,1,2,2,17,0.9104999899864197,-0.001100003719329834,0.2932673692703247
24458,2023/05/21 23:18:29,quant_conv2d,1,2,3,17,0.909600019454956,-0.001999974250793457,0.2961086332798004
24459,2023/05/21 23:18:32,quant_conv2d,1,2,4,17,0.9111999869346619,-0.0004000067710876465,0.29327842593193054
24460,2023/05/21 23:18:36,quant_conv2d,1,2,5,17,0.9089000225067139,-0.0026999711990356445,0.29495665431022644
24461,2023/05/21 23:18:39,quant_conv2d,1,2,6,17,0.90829998254776,-0.003300011157989502,0.29748284816741943
24462,2023/05/21 23:18:43,quant_conv2d,1,2,7,17,0.9078999757766724,-0.0037000179290771484,0.29929569363594055
24463,2023/05/21 23:18:47,quant_conv2d,1,2,8,17,0.9075000286102295,-0.0040999650955200195,0.30264121294021606
24464,2023/05/21 23:18:50,quant_conv2d,1,2,1,18,0.909500002861023,-0.0020999908447265625,0.2943525016307831
24465,2023/05/21 23:18:53,quant_conv2d,1,2,2,18,0.9107999801635742,-0.000800013542175293,0.2963128685951233
24466,2023/05/21 23:18:56,quant_conv2d,1,2,3,18,0.907800018787384,-0.0037999749183654785,0.30747467279434204
24467,2023/05/21 23:19:00,quant_conv2d,1,2,4,18,0.9057999849319458,-0.005800008773803711,0.3085715174674988
24468,2023/05/21 23:19:03,quant_conv2d,1,2,5,18,0.9059000015258789,-0.0056999921798706055,0.3065272271633148
24469,2023/05/21 23:19:07,quant_conv2d,1,2,6,18,0.9043999910354614,-0.007200002670288086,0.3089369833469391
24470,2023/05/21 23:19:10,quant_conv2d,1,2,7,18,0.9047999978065491,-0.0067999958992004395,0.31569021940231323
24471,2023/05/21 23:19:14,quant_conv2d,1,2,8,18,0.902999997138977,-0.008599996566772461,0.3243805170059204
24472,2023/05/21 23:19:17,quant_conv2d,1,2,1,19,0.9077000021934509,-0.003899991512298584,0.3018181025981903
24473,2023/05/21 23:19:21,quant_conv2d,1,2,2,19,0.904699981212616,-0.006900012493133545,0.3129236698150635
24474,2023/05/21 23:19:25,quant_conv2d,1,2,3,19,0.9010000228881836,-0.010599970817565918,0.3270510137081146
24475,2023/05/21 23:19:28,quant_conv2d,1,2,4,19,0.8970000147819519,-0.014599978923797607,0.3389010429382324
24476,2023/05/21 23:19:31,quant_conv2d,1,2,5,19,0.8955000042915344,-0.016099989414215088,0.3512455224990845
24477,2023/05/21 23:19:35,quant_conv2d,1,2,6,19,0.8937000036239624,-0.01789999008178711,0.3574982285499573
24478,2023/05/21 23:19:39,quant_conv2d,1,2,7,19,0.890999972820282,-0.02060002088546753,0.3676746189594269
24479,2023/05/21 23:19:42,quant_conv2d,1,2,8,19,0.8845000267028809,-0.027099967002868652,0.3924509286880493
24480,2023/05/21 23:19:46,quant_conv2d,1,2,1,20,0.907800018787384,-0.0037999749183654785,0.3015786409378052
24481,2023/05/21 23:19:50,quant_conv2d,1,2,2,20,0.9049000144004822,-0.006699979305267334,0.3197499215602875
24482,2023/05/21 23:19:54,quant_conv2d,1,2,3,20,0.8999000191688538,-0.011699974536895752,0.3273738622665405
24483,2023/05/21 23:19:57,quant_conv2d,1,2,4,20,0.899399995803833,-0.012199997901916504,0.3309078514575958
24484,2023/05/21 23:20:01,quant_conv2d,1,2,5,20,0.8974999785423279,-0.01410001516342163,0.35138416290283203
24485,2023/05/21 23:20:04,quant_conv2d,1,2,6,20,0.8881999850273132,-0.02340000867843628,0.3695550262928009
24486,2023/05/21 23:20:08,quant_conv2d,1,2,7,20,0.8863000273704529,-0.02529996633529663,0.37892836332321167
