;name;layer_key;kernel_index;layer_index;n_bits_flipped;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;model-original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
35;0_20230519 19:12:19;quant_conv2d;1;2;4;4;0.9115999937057495;0.0;0.28918910026550293
36;0_20230519 19:12:22;quant_conv2d;1;2;5;4;0.9115999937057495;0.0;0.28919756412506104
37;0_20230519 19:12:25;quant_conv2d;1;2;6;4;0.9115999937057495;0.0;0.28918224573135376
38;0_20230519 19:12:29;quant_conv2d;1;2;7;4;0.9115999937057495;0.0;0.28920093178749084
39;0_20230519 19:12:32;quant_conv2d;1;2;8;4;0.9117000102996826;0.00010001659393310547;0.28917375206947327
40;0_20230519 19:12:35;quant_conv2d;1;2;1;5;0.9115999937057495;0.0;0.28917762637138367
41;0_20230519 19:12:39;quant_conv2d;1;2;2;5;0.9115999937057495;0.0;0.28917625546455383
42;0_20230519 19:12:43;quant_conv2d;1;2;3;5;0.9115999937057495;0.0;0.2892255485057831
43;0_20230519 19:12:46;quant_conv2d;1;2;4;5;0.9115999937057495;0.0;0.28923073410987854
44;0_20230519 19:12:49;quant_conv2d;1;2;5;5;0.9114999771118164;-0.00010001659393310547;0.2892093360424042
45;0_20230519 19:12:53;quant_conv2d;1;2;6;5;0.9115999937057495;0.0;0.2891908884048462
46;0_20230519 19:12:56;quant_conv2d;1;2;7;5;0.9114999771118164;-0.00010001659393310547;0.2891973555088043
47;0_20230519 19:13:00;quant_conv2d;1;2;8;5;0.9115999937057495;0.0;0.2891767919063568
48;0_20230519 19:13:03;quant_conv2d;1;2;1;6;0.9115999937057495;0.0;0.28918975591659546
49;0_20230519 19:13:07;quant_conv2d;1;2;2;6;0.9117000102996826;0.00010001659393310547;0.28918761014938354
50;0_20230519 19:13:10;quant_conv2d;1;2;3;6;0.9117000102996826;0.00010001659393310547;0.28920724987983704
51;0_20230519 19:13:13;quant_conv2d;1;2;4;6;0.9115999937057495;0.0;0.28922098875045776
52;0_20230519 19:13:16;quant_conv2d;1;2;5;6;0.9117000102996826;0.00010001659393310547;0.289203405380249
53;0_20230519 19:13:20;quant_conv2d;1;2;6;6;0.9117000102996826;0.00010001659393310547;0.2891834080219269
54;0_20230519 19:13:24;quant_conv2d;1;2;7;6;0.9115999937057495;0.0;0.28914040327072144
55;0_20230519 19:13:28;quant_conv2d;1;2;8;6;0.9115999937057495;0.0;0.2891840934753418
56;0_20230519 19:13:31;quant_conv2d;1;2;1;7;0.9115999937057495;0.0;0.28916364908218384
57;0_20230519 19:13:35;quant_conv2d;1;2;2;7;0.9115999937057495;0.0;0.2891829013824463
58;0_20230519 19:13:38;quant_conv2d;1;2;3;7;0.9114999771118164;-0.00010001659393310547;0.2891838550567627
59;0_20230519 19:13:41;quant_conv2d;1;2;4;7;0.9114999771118164;-0.00010001659393310547;0.28913483023643494
60;0_20230519 19:13:44;quant_conv2d;1;2;5;7;0.9114999771118164;-0.00010001659393310547;0.28925955295562744
61;0_20230519 19:13:48;quant_conv2d;1;2;6;7;0.9115999937057495;0.0;0.28913596272468567
62;0_20230519 19:13:51;quant_conv2d;1;2;7;7;0.9117000102996826;0.00010001659393310547;0.2892772853374481
63;0_20230519 19:13:54;quant_conv2d;1;2;8;7;0.9117000102996826;0.00010001659393310547;0.28909632563591003
64;0_20230519 19:13:58;quant_conv2d;1;2;1;8;0.9115999937057495;0.0;0.2891627550125122
65;0_20230519 19:14:05;quant_conv2d;1;2;2;8;0.9117000102996826;0.00010001659393310547;0.289212167263031
66;0_20230519 19:14:09;quant_conv2d;1;2;3;8;0.9114999771118164;-0.00010001659393310547;0.2891649305820465
67;0_20230519 19:14:13;quant_conv2d;1;2;4;8;0.9115999937057495;0.0;0.289180725812912
68;0_20230519 19:14:16;quant_conv2d;1;2;5;8;0.9115999937057495;0.0;0.28921470046043396
69;0_20230519 19:14:20;quant_conv2d;1;2;6;8;0.9115999937057495;0.0;0.28914767503738403
