,reference,layer_name,layer_counter,n_bits_flipped,bit_disrupted,accuracy,accuracy_degradation,loss
101,2024/01/27 17:49:33,conv2d/,0,4,1,0.9143,0.00029999999999996696,0.3884781
102,2024/01/27 17:49:35,conv2d/,0,1,2,0.9134,-0.0006000000000000449,0.39052895
103,2024/01/27 17:49:36,conv2d/,0,2,2,0.9145,0.0004999999999999449,0.38518178
104,2024/01/27 17:49:38,conv2d/,0,4,2,0.9135,-0.000500000000000056,0.3912726
105,2024/01/27 17:49:40,conv2d/,0,1,3,0.9149,0.0009000000000000119,0.38952515
106,2024/01/27 17:49:42,conv2d/,0,2,3,0.9145,0.0004999999999999449,0.39046073
107,2024/01/27 17:49:44,conv2d/,0,4,3,0.914,0.0,0.3890436
108,2024/01/27 17:49:45,conv2d/,0,1,4,0.9139,-9.999999999998899e-05,0.38836232
109,2024/01/27 17:49:47,conv2d/,0,2,4,0.9143,0.00029999999999996696,0.39131057
110,2024/01/27 17:49:49,conv2d/,0,4,4,0.9141,9.999999999998899e-05,0.38880673
111,2024/01/27 17:49:51,conv2d/,0,1,5,0.9137,-0.000300000000000078,0.38781586
112,2024/01/27 17:49:52,conv2d/,0,2,5,0.9142,0.00019999999999997797,0.39394975
113,2024/01/27 17:49:54,conv2d/,0,4,5,0.9126,-0.0014000000000000679,0.38810787
114,2024/01/27 17:49:56,conv2d/,0,1,6,0.9142,0.00019999999999997797,0.39020067
115,2024/01/27 17:49:58,conv2d/,0,2,6,0.9132,-0.0008000000000000229,0.39185354
116,2024/01/27 17:50:00,conv2d/,0,4,6,0.9054,-0.008600000000000052,0.43244037
117,2024/01/27 17:50:01,conv2d/,0,1,7,0.9102,-0.0038000000000000256,0.39368582
118,2024/01/27 17:50:03,conv2d/,0,2,7,0.9082,-0.005800000000000027,0.38390556
119,2024/01/27 17:50:05,conv2d/,0,4,7,0.9058,-0.008199999999999985,0.4019835
120,2024/01/27 17:50:07,conv2d_1/,1,1,0,0.914,0.0,0.38966742
121,2024/01/27 17:50:09,conv2d_1/,1,2,0,0.914,0.0,0.38962036
122,2024/01/27 17:50:10,conv2d_1/,1,4,0,0.914,0.0,0.38858587
123,2024/01/27 17:50:12,conv2d_1/,1,1,1,0.914,0.0,0.38962007
124,2024/01/27 17:50:14,conv2d_1/,1,2,1,0.914,0.0,0.3895122
125,2024/01/27 17:50:16,conv2d_1/,1,4,1,0.914,0.0,0.38946077
126,2024/01/27 17:50:17,conv2d_1/,1,1,2,0.914,0.0,0.38963243
127,2024/01/27 17:50:19,conv2d_1/,1,2,2,0.9138,-0.000200000000000089,0.38952467
128,2024/01/27 17:50:21,conv2d_1/,1,4,2,0.9143,0.00029999999999996696,0.3907145
129,2024/01/27 17:50:23,conv2d_1/,1,1,3,0.9143,0.00029999999999996696,0.38849154
130,2024/01/27 17:50:25,conv2d_1/,1,2,3,0.9139,-9.999999999998899e-05,0.390737
131,2024/01/27 17:50:26,conv2d_1/,1,4,3,0.9135,-0.000500000000000056,0.3889104
132,2024/01/27 17:50:28,conv2d_1/,1,1,4,0.9141,9.999999999998899e-05,0.3895136
133,2024/01/27 17:50:30,conv2d_1/,1,2,4,0.9142,0.00019999999999997797,0.38855585
134,2024/01/27 17:50:32,conv2d_1/,1,4,4,0.9132,-0.0008000000000000229,0.3904157
135,2024/01/27 17:50:34,conv2d_1/,1,1,5,0.9141,9.999999999998899e-05,0.38956258
136,2024/01/27 17:50:35,conv2d_1/,1,2,5,0.9137,-0.000300000000000078,0.39074242
137,2024/01/27 17:50:37,conv2d_1/,1,4,5,0.914,0.0,0.38709688
138,2024/01/27 17:50:39,conv2d_1/,1,1,6,0.9138,-0.000200000000000089,0.38707104
139,2024/01/27 17:50:41,conv2d_1/,1,2,6,0.9138,-0.000200000000000089,0.3888378
140,2024/01/27 17:50:42,conv2d_1/,1,4,6,0.914,0.0,0.3911832
141,2024/01/27 17:50:44,conv2d_1/,1,1,7,0.9134,-0.0006000000000000449,0.38643956
142,2024/01/27 17:50:46,conv2d_1/,1,2,7,0.914,0.0,0.38895032
143,2024/01/27 17:50:48,conv2d_1/,1,4,7,0.914,0.0,0.38908872
144,2024/01/27 17:50:50,conv2d_1/,1,1,0,0.914,0.0,0.38963768
145,2024/01/27 17:50:51,conv2d_1/,1,2,0,0.9139,-9.999999999998899e-05,0.3896301
146,2024/01/27 17:50:53,conv2d_1/,1,4,0,0.9138,-0.000200000000000089,0.38960418
147,2024/01/27 17:50:55,conv2d_1/,1,1,1,0.9141,9.999999999998899e-05,0.38963783
148,2024/01/27 17:50:57,conv2d_1/,1,2,1,0.914,0.0,0.38958806
149,2024/01/27 17:50:59,conv2d_1/,1,4,1,0.914,0.0,0.3897471
150,2024/01/27 17:51:00,conv2d_1/,1,1,2,0.914,0.0,0.38967285
151,2024/01/27 17:51:02,conv2d_1/,1,2,2,0.914,0.0,0.38972762
152,2024/01/27 17:51:04,conv2d_1/,1,4,2,0.9139,-9.999999999998899e-05,0.39002624
153,2024/01/27 17:51:06,conv2d_1/,1,1,3,0.9143,0.00029999999999996696,0.39129177
154,2024/01/27 17:51:08,conv2d_1/,1,2,3,0.9139,-9.999999999998899e-05,0.38970992
155,2024/01/27 17:51:09,conv2d_1/,1,4,3,0.914,0.0,0.38972294
156,2024/01/27 17:51:11,conv2d_1/,1,1,4,0.9141,9.999999999998899e-05,0.38965628
157,2024/01/27 17:51:13,conv2d_1/,1,2,4,0.9142,0.00019999999999997797,0.38768712
158,2024/01/27 17:51:15,conv2d_1/,1,4,4,0.9143,0.00029999999999996696,0.38820708
159,2024/01/27 17:51:16,conv2d_1/,1,1,5,0.914,0.0,0.38977328
160,2024/01/27 17:51:18,conv2d_1/,1,2,5,0.9134,-0.0006000000000000449,0.38984728
161,2024/01/27 17:51:20,conv2d_1/,1,4,5,0.9135,-0.000500000000000056,0.38759664
162,2024/01/27 17:51:22,conv2d_1/,1,1,6,0.914,0.0,0.38856462
163,2024/01/27 17:51:24,conv2d_1/,1,2,6,0.9146,0.0005999999999999339,0.38842964
164,2024/01/27 17:51:25,conv2d_1/,1,4,6,0.9144,0.00039999999999995595,0.38881642
165,2024/01/27 17:51:27,conv2d_1/,1,1,7,0.9137,-0.000300000000000078,0.38873747
166,2024/01/27 17:51:29,conv2d_1/,1,2,7,0.9139,-9.999999999998899e-05,0.3893583
167,2024/01/27 17:51:31,conv2d_1/,1,4,7,0.913,-0.0010000000000000009,0.3884135
168,2024/01/27 17:51:33,conv2d_1/,1,1,0,0.9141,9.999999999998899e-05,0.38965836
169,2024/01/27 17:51:34,conv2d_1/,1,2,0,0.9141,9.999999999998899e-05,0.38958827
170,2024/01/27 17:51:36,conv2d_1/,1,4,0,0.914,0.0,0.38961515
171,2024/01/27 17:51:38,conv2d_1/,1,1,1,0.9141,9.999999999998899e-05,0.38969243
172,2024/01/27 17:51:40,conv2d_1/,1,2,1,0.9142,0.00019999999999997797,0.38955513
173,2024/01/27 17:51:42,conv2d_1/,1,4,1,0.9139,-9.999999999998899e-05,0.38966468
174,2024/01/27 17:51:43,conv2d_1/,1,1,2,0.914,0.0,0.38962597
175,2024/01/27 17:51:45,conv2d_1/,1,2,2,0.9141,9.999999999998899e-05,0.389576
176,2024/01/27 17:51:47,conv2d_1/,1,4,2,0.9136,-0.00040000000000006697,0.38973194
177,2024/01/27 17:51:49,conv2d_1/,1,1,3,0.9141,9.999999999998899e-05,0.38959706
178,2024/01/27 17:51:51,conv2d_1/,1,2,3,0.914,0.0,0.39086273
179,2024/01/27 17:51:52,conv2d_1/,1,4,3,0.914,0.0,0.38758165
180,2024/01/27 17:51:54,conv2d_1/,1,1,4,0.914,0.0,0.389672
181,2024/01/27 17:51:56,conv2d_1/,1,2,4,0.9139,-9.999999999998899e-05,0.3898156
182,2024/01/27 17:51:58,conv2d_1/,1,4,4,0.9144,0.00039999999999995595,0.38725138
183,2024/01/27 17:52:00,conv2d_1/,1,1,5,0.9142,0.00019999999999997797,0.39197513
184,2024/01/27 17:52:01,conv2d_1/,1,2,5,0.9143,0.00029999999999996696,0.38969737
185,2024/01/27 17:52:03,conv2d_1/,1,4,5,0.9138,-0.000200000000000089,0.3888035
186,2024/01/27 17:52:05,conv2d_1/,1,1,6,0.9139,-9.999999999998899e-05,0.39050815
187,2024/01/27 17:52:07,conv2d_1/,1,2,6,0.9142,0.00019999999999997797,0.39026803
188,2024/01/27 17:52:09,conv2d_1/,1,4,6,0.914,0.0,0.39152032
189,2024/01/27 17:52:10,conv2d_1/,1,1,7,0.9134,-0.0006000000000000449,0.39130396
190,2024/01/27 17:52:12,conv2d_1/,1,2,7,0.9128,-0.0012000000000000899,0.38452566
191,2024/01/27 17:52:14,conv2d_1/,1,4,7,0.9138,-0.000200000000000089,0.39043936
192,2024/01/27 17:52:16,conv2d_1/,1,1,0,0.914,0.0,0.3896653
193,2024/01/27 17:52:17,conv2d_1/,1,2,0,0.914,0.0,0.39055216
194,2024/01/27 17:52:19,conv2d_1/,1,4,0,0.9141,9.999999999998899e-05,0.38965836
195,2024/01/27 17:52:21,conv2d_1/,1,1,1,0.914,0.0,0.38962463
196,2024/01/27 17:52:23,conv2d_1/,1,2,1,0.9139,-9.999999999998899e-05,0.38965064
197,2024/01/27 17:52:25,conv2d_1/,1,4,1,0.914,0.0,0.38963622
198,2024/01/27 17:52:26,conv2d_1/,1,1,2,0.914,0.0,0.38939816
199,2024/01/27 17:52:28,conv2d_1/,1,2,2,0.914,0.0,0.38966885
200,2024/01/27 17:52:30,conv2d_1/,1,4,2,0.914,0.0,0.38866562
201,2024/01/27 17:52:32,conv2d_1/,1,1,3,0.9139,-9.999999999998899e-05,0.38853458
202,2024/01/27 17:52:34,conv2d_1/,1,2,3,0.9142,0.00019999999999997797,0.3897353
203,2024/01/27 17:52:35,conv2d_1/,1,4,3,0.914,0.0,0.38974473
204,2024/01/27 17:52:37,conv2d_1/,1,1,4,0.9141,9.999999999998899e-05,0.38961124
205,2024/01/27 17:52:39,conv2d_1/,1,2,4,0.9137,-0.000300000000000078,0.39003915
206,2024/01/27 17:52:41,conv2d_1/,1,4,4,0.9142,0.00019999999999997797,0.38971752
207,2024/01/27 17:52:43,conv2d_1/,1,1,5,0.914,0.0,0.38962257
208,2024/01/27 17:52:44,conv2d_1/,1,2,5,0.9139,-9.999999999998899e-05,0.38851818
209,2024/01/27 17:52:46,conv2d_1/,1,4,5,0.9135,-0.000500000000000056,0.38864467
210,2024/01/27 17:52:48,conv2d_1/,1,1,6,0.9139,-9.999999999998899e-05,0.3919492
211,2024/01/27 17:52:50,conv2d_1/,1,2,6,0.9142,0.00019999999999997797,0.38741598
212,2024/01/27 17:52:52,conv2d_1/,1,4,6,0.9138,-0.000200000000000089,0.3899435
213,2024/01/27 17:52:53,conv2d_1/,1,1,7,0.9144,0.00039999999999995595,0.39084354
214,2024/01/27 17:52:55,conv2d_1/,1,2,7,0.9135,-0.000500000000000056,0.38874647
215,2024/01/27 17:52:57,conv2d_1/,1,4,7,0.9132,-0.0008000000000000229,0.38836333
216,2024/01/27 17:52:59,conv2d_1/,1,1,0,0.9141,9.999999999998899e-05,0.38962772
217,2024/01/27 17:53:01,conv2d_1/,1,2,0,0.914,0.0,0.38958097
218,2024/01/27 17:53:03,conv2d_1/,1,4,0,0.9141,9.999999999998899e-05,0.3898548
219,2024/01/27 17:53:04,conv2d_1/,1,1,1,0.9139,-9.999999999998899e-05,0.38952646
220,2024/01/27 17:53:06,conv2d_1/,1,2,1,0.9138,-0.000200000000000089,0.38963872
221,2024/01/27 17:53:08,conv2d_1/,1,4,1,0.914,0.0,0.39066112
222,2024/01/27 17:53:10,conv2d_1/,1,1,2,0.9142,0.00019999999999997797,0.38980895
223,2024/01/27 17:53:12,conv2d_1/,1,2,2,0.914,0.0,0.38964838
224,2024/01/27 17:53:14,conv2d_1/,1,4,2,0.914,0.0,0.38972473
225,2024/01/27 17:53:16,conv2d_1/,1,1,3,0.9139,-9.999999999998899e-05,0.3897424
226,2024/01/27 17:53:17,conv2d_1/,1,2,3,0.9142,0.00019999999999997797,0.3908435
227,2024/01/27 17:53:19,conv2d_1/,1,4,3,0.914,0.0,0.38980088
228,2024/01/27 17:53:21,conv2d_1/,1,1,4,0.914,0.0,0.38933724
229,2024/01/27 17:53:23,conv2d_1/,1,2,4,0.9136,-0.00040000000000006697,0.38987163
230,2024/01/27 17:53:25,conv2d_1/,1,4,4,0.9141,9.999999999998899e-05,0.3895939
231,2024/01/27 17:53:26,conv2d_1/,1,1,5,0.9138,-0.000200000000000089,0.39079866
232,2024/01/27 17:53:28,conv2d_1/,1,2,5,0.9143,0.00029999999999996696,0.38855875
233,2024/01/27 17:53:30,conv2d_1/,1,4,5,0.9145,0.0004999999999999449,0.38838074
234,2024/01/27 17:53:32,conv2d_1/,1,1,6,0.914,0.0,0.39078438
235,2024/01/27 17:53:34,conv2d_1/,1,2,6,0.914,0.0,0.38983262
236,2024/01/27 17:53:35,conv2d_1/,1,4,6,0.9135,-0.000500000000000056,0.38840273
